total_box,budget,release_coverage,pindex
225341,0,0.00040782,3202819
330252182,5.50E+07,0.088613286,3202893
78948,0,0.000353714,3203022
6739141,8.00E+06,0.047751249,3203092
75828,1500000,0.000185736,3203347
74494381,4.50E+07,0.070287625,3203936
120146040,8.00E+07,0.091157233,3203949
3135,0,2.65E-05,3204022
1393,0,2.65E-05,3204125
4257354,0,0.011457099,3204251
58334,0,7.73E-05,3204263
12096300,0,0.018995895,3204626
269300,0,0.007332414,3204647
39015018,0,0.062973656,3204903
13110448,1.10E+07,0.042161888,3205292
4069826,0,0.005874641,3205543
50004,0,0,3205785
9188,0,0.000647185,3205788
645186,0,0.001877065,3205824
205068,2500000,0,3206045
35291068,3.90E+07,0.075765216,3206161
22773535,0,0.046673972,3206207
22900,0,0.000112202,3206208
103365,0,0.000179578,3206246
17637950,0,0.047602577,3206374
3333306,0,0.016860279,3206615
29296,0,7.80E-05,3206983
101270,2900000,0.000506073,3207005
70958,0,0.002674599,3207034
110230332,2.00E+07,0.086030856,3207083
72006777,0,0.092875187,3207167
14254993,1.40E+07,0.063961021,3207301
82622655,3.00E+07,0.08454418,3207326
34872033,1.10E+07,0.075571249,3207334
194102,0,0.000403409,3207468
55750480,5.50E+07,0.093343994,3207486
30229,0,0.000263404,3207524
3804,0,2.53E-05,3207645
20810036,5.00E+07,0.070070195,3207700
141108,0,0.006695164,3207701
157201,0,0.000151278,3207707
4198,0,2.50E-05,3207709
77698625,0,0.075587294,3207774
30077111,0,0.082641957,3207776
3446539,0,0.039479052,3207777
71176,0,3.75E-05,3207997
36605602,2.10E+07,0.058926638,3208042
12512886,0,0.061460367,3208063
573335,0,0.003699445,3208091
17129026,0,0.061870389,3208098
2750064,0,0.000878015,3208170
12600,0,2.75E-05,3208198
401328,0,0.003099535,3208205
295493,3.00E+06,0.000302714,3208212
38896854,0,0.062996085,3208601
45010278,3.10E+07,0.072321944,3208763
8094616,0,0.01547454,3208811
25115,0,7.65E-05,3208816
6640346,0,0.055168836,3208943
25885000,1.20E+07,0.022248375,3209417
27467564,3500000,0.031713537,3209444
33253609,0,0.04542143,3209455
61255921,3.00E+07,0.082448195,3209500
65002019,1.90E+07,0.079142559,3209522
19170001,0,0.077651433,3209529
14343976,0,0.073426116,3209530
21930418,0,0.085221927,3209534
82418501,0,0.05402005,3209626
33543,0,0.001427379,3209840
127212,0,0.000112657,3209895
20136,0,0.000350385,3209910
55802754,3.50E+07,0.073926225,3210022
7251073,0,0.016169783,3210027
13368437,6500000,0.026291813,3210028
24922237,0,0.074853825,3210159
18302607,3.00E+07,0.078676099,3210160
2983784,0,0.006960958,3210163
87433,0,0.000143663,3210298
21589,0,0.000848747,3210529
1261000,0,0.008981035,3210706
25836616,1.90E+07,0.067505298,3210838
31602566,3.50E+07,0.065735369,3210943
4928883,1.20E+07,0.056129032,3211033
548787,0,0.00711136,3211081
3033623,0,0.00659424,3211203
9518342,0,0.042814939,3211518
26409,0,7.50E-05,3211782
59696,0,0.000350385,3211862
26976,0,0.000154504,3212006
18622031,2.50E+07,0.028454447,3212049
246176,0,0.002682186,3212110
400738009,1.50E+08,0.093493904,3212116
